League,Name,Club,Country,Matches Played,Goals
Premier League,Erling Haaland,Man City,Norway,7,10
Premier League,Bryan Mbeumo,Brentford,Cameroon,7,6
Premier League,Cole Palmer,Chelsea,England,7,6
Premier League,Luis Díaz,Liverpool,Colombia,7,5
Premier League,Mohamed Salah,Liverpool,Egypt,7,4
Premier League,Kai Havertz,Arsenal,Germany,7,4
Premier League,Danny Welbeck,Brighton Hove,England,7,4
Premier League,Chris Wood,Nottingham,New Zealand,7,4
Premier League,Jhon Durán,Aston Villa,Colombia,7,4
Premier League,Nicolas Jackson,Chelsea,Senegal,7,4
La Liga,Robert Lewandowski,Barça,Poland,9,10
La Liga,Ayoze Pérez,Villarreal,Spain,7,6
La Liga,Raphinha,Barça,Brazil,9,5
La Liga,Kylian Mbappé,Real Madrid,France,8,5
La Liga,Giovani Lo Celso,Real Betis,Argentina,6,5
La Liga,Oihan Sancet,Athletic,Spain,8,4
La Liga,Iago Aspas,Celta,Spain,9,4
La Liga,Lamine Yamal,Barça,Spain,9,4
La Liga,Borja Iglesias,Celta,Spain,9,4
La Liga,Vinicius Junior,Real Madrid,Brazil,9,4
Bundesliga,Omar Marmoush,Frankfurt,Egypt,6,8
Bundesliga,Ermedin Demirovic,Stuttgart,Bosnia-Herzegovina,6,5
Bundesliga,Jonathan Burkardt,Mainz,Germany,6,5
Bundesliga,Harry Kane,Bayern,England,6,5
Bundesliga,Florian Wirtz,Leverkusen,Germany,6,4
Bundesliga,Andrej Kramarić,Hoffenheim,Croatia,5,4
Bundesliga,Shuto Machino,Holstein Kiel,Japan,6,4
Bundesliga,Loïs Openda,RB Leipzig,Belgium,6,4
Bundesliga,Victor Boniface,Leverkusen,Nigeria,6,4
Bundesliga,Deniz Undav,Stuttgart,Germany,6,4

Last Updated: Wed Oct  9 14:33:09 2024

